Id,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,Bill_of_Materials__c,Item__c,Quantity__c
a0H54000003c9NWEAY,,BoMLine-000009,2020-11-06T22:02:43.000+0000,00554000006CnqaAAC,2020-11-06T22:02:43.000+0000,00554000006CnqaAAC,2020-11-06T22:02:43.000+0000,,2020-11-06T22:02:49.000+0000,2020-11-06T22:02:49.000+0000,a0G54000003sxquEAA,a0D54000004SpCkEAK,1
a0H54000003c9NREAY,,BoMLine-000008,2020-11-06T22:02:16.000+0000,00554000006CnqaAAC,2020-11-06T22:02:16.000+0000,00554000006CnqaAAC,2020-11-06T22:02:16.000+0000,,2020-11-06T22:02:17.000+0000,2020-11-06T22:02:17.000+0000,a0G54000003sxquEAA,a0D54000004Sp8TEAS,6
a0H54000003c9MTEAY,,BoMLine-000002,2020-11-06T21:46:52.000+0000,00554000006CnqaAAC,2020-11-06T21:46:52.000+0000,00554000006CnqaAAC,2020-11-06T21:46:52.000+0000,,2020-11-06T21:46:54.000+0000,2020-11-06T21:46:54.000+0000,a0G54000003sxzrEAA,a0D54000004SpCuEAK,5
a0H54000003c9MJEAY,,BoMLine-000000,2020-11-06T21:46:34.000+0000,00554000006CnqaAAC,2020-11-06T21:48:52.000+0000,00554000006CnqaAAC,2020-11-06T21:48:52.000+0000,,2020-11-06T21:54:18.000+0000,2020-11-06T21:54:18.000+0000,a0G54000003sxzrEAA,a0D54000004SpCzEAK,5
a0H54000003c9MYEAY,,BoMLine-000003,2020-11-06T21:46:59.000+0000,00554000006CnqaAAC,2020-11-06T21:46:59.000+0000,00554000006CnqaAAC,2020-11-06T21:46:59.000+0000,,2020-11-06T21:47:00.000+0000,2020-11-06T21:47:00.000+0000,a0G54000003sxzrEAA,a0D54000004SpD9EAK,1
a0H54000003c9MOEAY,,BoMLine-000001,2020-11-06T21:46:40.000+0000,00554000006CnqaAAC,2020-11-06T21:46:40.000+0000,00554000006CnqaAAC,2020-11-06T21:46:40.000+0000,,2020-11-06T21:46:41.000+0000,2020-11-06T21:46:41.000+0000,a0G54000003sxzrEAA,a0D54000004SpDEEA0,1
a0H54000003c9NMEAY,,BoMLine-000007,2020-11-06T22:02:09.000+0000,00554000006CnqaAAC,2020-11-06T22:02:09.000+0000,00554000006CnqaAAC,2020-11-06T22:02:09.000+0000,,2020-11-06T22:02:10.000+0000,2020-11-06T22:02:10.000+0000,a0G54000003sxquEAA,a0D54000004Sp8SEAS,6
a0H54000003c9NHEAY,,BoMLine-000006,2020-11-06T22:02:01.000+0000,00554000006CnqaAAC,2020-11-06T22:02:01.000+0000,00554000006CnqaAAC,2020-11-06T22:02:01.000+0000,,2020-11-06T22:02:02.000+0000,2020-11-06T22:02:02.000+0000,a0G54000003sxquEAA,a0D54000004SpCfEAK,6
a0H54000003c9MdEAI,,BoMLine-000004,2020-11-06T21:47:04.000+0000,00554000006CnqaAAC,2020-11-06T21:47:04.000+0000,00554000006CnqaAAC,2020-11-06T21:47:04.000+0000,,2020-11-06T21:47:05.000+0000,2020-11-06T21:47:05.000+0000,a0G54000003sxzrEAA,a0D54000004SpD4EAK,1
a0H54000003c9NCEAY,,BoMLine-000005,2020-11-06T22:01:36.000+0000,00554000006CnqaAAC,2020-11-06T22:01:36.000+0000,00554000006CnqaAAC,2020-11-06T22:01:36.000+0000,,2020-11-06T22:01:44.000+0000,2020-11-06T22:01:44.000+0000,a0G54000003sxquEAA,a0D54000004SpElEAK,72
