Id,OwnerId,IsDeleted,Name,RecordTypeId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,sustain_app__AMER_Avg_Elec_Energy_Intensity_kwh_sqft__c,sustain_app__AMER_Avg_Energy_Intensity_kBtu_sqft__c,sustain_app__APAC_Avg_Elec_Energy_Intensity_kwh_sqft__c,sustain_app__APAC_Avg_Energy_Intensity_kBtu_sqft__c,sustain_app__Autogas_LPG_CH4_factor_g_CH4_km__c,sustain_app__Autogas_LPG_CO2_factor_kg_CO2_L__c,sustain_app__Autogas_LPG_N2O_factor_g_N2O_km__c,sustain_app__Biodiesel_CH4_factor_g_CH4_km__c,sustain_app__Biodiesel_CO2_factor_kg_CO2_L__c,sustain_app__Biodiesel_N2O_factor_g_N2O_km__c,sustain_app__CNG_CH4_factor_g_CH4_km__c,sustain_app__CNG_CO2_factor_kg_CO2_L__c,sustain_app__CNG_N2O_factor_g_N2O_km__c,sustain_app__City__c,sustain_app__Cooling_CO2e_Factor_tCO2e_MWh__c,sustain_app__Country__c,sustain_app__Data_Source__c,sustain_app__Diesel_CH4_Factor_g_mmBtu__c,sustain_app__Diesel_CO2_Factor__c,sustain_app__Diesel_CO2e_Factor_tCO2e_MWh__c,sustain_app__Diesel_N2O_Factor_g_mmBtu__c,sustain_app__EMEA_Avg_Elec_Energy_Intensity_kwh_sqft__c,sustain_app__EMEA_Avg_Energy_Intensity_kBtu_sqft__c,sustain_app__East_North_Central_Large__c,sustain_app__East_North_Central_Medium__c,sustain_app__East_North_Central_Small__c,sustain_app__East_South_Central_Large__c,sustain_app__East_South_Central_Medium__c,sustain_app__East_South_Central_Small__c,sustain_app__Emission_Factor_Update_Year__c,sustain_app__Ethanol_CH4_factor_g_CH4_km__c,sustain_app__Ethanol_CO2_factor_kg_CO2_L__c,sustain_app__Ethanol_N2O_factor_g_N2O_km__c,sustain_app__Fuel_Oil_CH4_Factor_g_mmBtu__c,sustain_app__Fuel_Oil_CO2_Factor_kg_mmBtu__c,sustain_app__Fuel_Oil_CO2e_Factor_tCO2e_MWh__c,sustain_app__Fuel_Oil_N2O_Factor_g_mmBtu__c,sustain_app__GWP_CH4__c,sustain_app__GWP_N2O__c,sustain_app__GWP__c,sustain_app__GWP_kgCO2ekg__c,sustain_app__Gasoline_CH4_factor_g_CH4_km__c,sustain_app__Gasoline_CO2_factor_kg_CO2_L__c,sustain_app__Gasoline_N2O_factor_g_N2O_km__c,sustain_app__Heating_CO2e_Factor_tCO2e_MWh__c,sustain_app__Jet_Fuel_CO2e_Factor_tCO2e_Gal__c,sustain_app__Middle_Atlantic_Large__c,sustain_app__Middle_Atlantic_Medium__c,sustain_app__Middle_Atlantic_Small__c,sustain_app__Midwest_Large__c,sustain_app__Midwest_Medium__c,sustain_app__Midwest_Small__c,sustain_app__Midwest_kBtusft__c,sustain_app__Mobile_Diesel_CH4_factor_g_CH4_km__c,sustain_app__Mobile_Diesel_CO2_factor_kg_CO2_L__c,sustain_app__Mobile_Diesel_N2O_factor_g_N2O_km__c,sustain_app__Mountain_Large__c,sustain_app__Mountain_Medium__c,sustain_app__Mountain_Small__c,sustain_app__Natural_Gas_CH4_Factor_g_mmBtu__c,sustain_app__Natural_Gas_CO2_Factor__c,sustain_app__Natural_Gas_CO2e_Factor_tCO2e_MWh__c,sustain_app__Natural_Gas_Cal_Conversion_kWh_m3__c,sustain_app__Natural_Gas_N2O_Factor_g_mmBtu__c,sustain_app__New_England_Large__c,sustain_app__New_England_Medium__c,sustain_app__New_England_Small__c,sustain_app__Non_US_Real_Estate_Avg_kBtu_Sqft__c,sustain_app__Northeast_Large__c,sustain_app__Northeast_Medium__c,sustain_app__Northeast_Small__c,sustain_app__Northeast_kBtusft__c,sustain_app__Pacific_Large__c,sustain_app__Pacific_Medium__c,sustain_app__Pacific_Small__c,sustain_app__Propane_CH4_Factor__c,sustain_app__Propane_CO2_Factor__c,sustain_app__Propane_CO2e_Factor_tCO2e_MWh__c,sustain_app__Propane_N2O_Factor__c,sustain_app__RefrigerantLeakageRatekgITkWh__c,sustain_app__RefrigerantLeakageRatekgM2__c,sustain_app__RefrigerantLeakageRatekgSqft__c,sustain_app__Refrigerant_Name__c,sustain_app__South_Atlantic_Large__c,sustain_app__South_Atlantic_Medium__c,sustain_app__South_Atlantic_Small__c,sustain_app__South_Large__c,sustain_app__South_Medium__c,sustain_app__South_Small__c,sustain_app__South_kBtusft__c,sustain_app__State__c,sustain_app__Steam_CH4_Factor_g_mmBtu__c,sustain_app__Steam_CO2_Factor_kg_mmBtu__c,sustain_app__Steam_CO2e_Factor_tCO2e_MWh__c,sustain_app__Steam_N2O_Factor_g_mmBtu__c,sustain_app__SubRegion_Name__c,sustain_app__West_Large__c,sustain_app__West_Medium__c,sustain_app__West_North_Central_Large__c,sustain_app__West_North_Central_Medium__c,sustain_app__West_North_Central_Small__c,sustain_app__West_Small__c,sustain_app__West_South_Central_Large__c,sustain_app__West_South_Central_Medium__c,sustain_app__West_South_Central_Small__c,sustain_app__West_kBtusft__c,sustain_app__jet_fuel_ch4_factor_g_gal__c,sustain_app__jet_fuel_co2_factor_g__c,sustain_app__jet_fuel_n2o_factor_g_gal__c
a073h000003kph4AAA,0053h000002flTyAAI,,Energy Intensity Reference Data,0123h0000006kXpAAI,2020-09-09T17:03:38.000+0000,0053h000002flTyAAI,2020-09-10T17:46:54.000+0000,0053h000002ff5cAAA,2020-09-10T17:46:54.000+0000,,,,1.2692433403959704,19.939967507689353,1.4713510571823836,23.012744279567798,,,,,,,,,,,,,https://www.eia.gov/consumption/commercial/data/2012/index.php?view=consumption,,,0,,1.7583073493889756,27.500899393690695,15.4,12.2,15.2,15.1,13.9,15.4,2019,,,,,,0,,,,,,,,,,0,17.8,12.6,14.3,15.3,12.1,13.2,82.8,,,,16.2,10.9,16.2,,,0,,,14.9,10.6,11.6,,17.3,12,13.2,93.9,17,10.9,13.8,,,0,,,,,,16.6,15,19,17,14.8,17.5,74.9,,,,0,,,16.8,10.9,15,12.1,10.5,14.4,18.5,14.8,16.6,74.7,,,
a073h000003kph5AAA,0053h000002flTyAAI,,GeneralConversionFactors,0123h0000006kXqAAI,2020-09-09T17:03:39.000+0000,0053h000002flTyAAI,2020-09-09T17:03:39.000+0000,0053h000002flTyAAI,2020-09-09T17:03:39.000+0000,,,,,,,,,,,,,,,,,,0.25212,,https://www.gov.uk/government/collections/government-conversion-factors-for-company-reporting;https://www.epa.gov/sites/production/files/2018-03/documents/emission-factors_mar_2018_0.pdf,3,73.96,0.25319,0.6,,,,,,,,,2018,,,,3,73.96,0.2531912,0.6,28,265,1,,,,,0.22656,0.0098295,,,,,,,,,,,,,,1,53.06,0.18123,10.732656,0.1,,,,,,,,,,,,0.01023642489,0.214521,0.21535,0.002047284978,0.00000166,0.002153,0.00020002024512,,,,,,,,,,1.25,66.33,0.22656,0.13,,,,,,,,,,,,0,9.75,0.3
a073h000003kph6AAA,0053h000002flTyAAI,,Carbon tetrachloride - 2018 revision,0123h0000006kXsAAI,2020-09-09T17:03:39.000+0000,0053h000002flTyAAI,2020-09-09T17:03:39.000+0000,0053h000002flTyAAI,2020-09-09T17:03:39.000+0000,,,,,,,,,,,,,,,,,,,,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,,,0,,,,,,,,,,2018,,,,,,0,,,,,1400,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,Carbon tetrachloride,,,,,,,,,,,0,,,,,,,,,,,,,,,
a073h000003kph7AAA,0053h000002flTyAAI,,CFC-11 / R11 (trichlorofluoromethane) - 2018 revision,0123h0000006kXsAAI,2020-09-09T17:03:39.000+0000,0053h000002flTyAAI,2020-09-09T17:03:39.000+0000,0053h000002flTyAAI,2020-09-09T17:03:39.000+0000,,,,,,,,,,,,,,,,,,,,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,,,0,,,,,,,,,,2018,,,,,,0,,,,,4750,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,CFC-11 / R11 (trichlorofluoromethane),,,,,,,,,,,0,,,,,,,,,,,,,,,
a073h000003kph8AAA,0053h000002flTyAAI,,CFC-113 - 2018 revision,0123h0000006kXsAAI,2020-09-09T17:03:39.000+0000,0053h000002flTyAAI,2020-09-09T17:03:39.000+0000,0053h000002flTyAAI,2020-09-09T17:03:39.000+0000,,,,,,,,,,,,,,,,,,,,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,,,0,,,,,,,,,,2018,,,,,,0,,,,,6130,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,CFC-113,,,,,,,,,,,0,,,,,,,,,,,,,,,
a073h000003kpifAAA,0053h000002flTyAAI,,CFC-114 - 2018 revision,0123h0000006kXsAAI,2020-09-09T17:03:39.000+0000,0053h000002flTyAAI,2020-09-09T17:03:39.000+0000,0053h000002flTyAAI,2020-09-09T17:03:39.000+0000,,,,,,,,,,,,,,,,,,,,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,,,0,,,,,,,,,,2018,,,,,,0,,,,,10000,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,CFC-114,,,,,,,,,,,0,,,,,,,,,,,,,,,
a073h000003kpigAAA,0053h000002flTyAAI,,CFC-115 - 2018 revision,0123h0000006kXsAAI,2020-09-09T17:03:39.000+0000,0053h000002flTyAAI,2020-09-09T17:03:39.000+0000,0053h000002flTyAAI,2020-09-09T17:03:39.000+0000,,,,,,,,,,,,,,,,,,,,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,,,0,,,,,,,,,,2018,,,,,,0,,,,,7370,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,CFC-115,,,,,,,,,,,0,,,,,,,,,,,,,,,
a073h000003kpihAAA,0053h000002flTyAAI,,CFC-12 / R12 (dichlorodifluoromethane) - 2018 revision,0123h0000006kXsAAI,2020-09-09T17:03:39.000+0000,0053h000002flTyAAI,2020-09-09T17:03:39.000+0000,0053h000002flTyAAI,2020-09-09T17:03:39.000+0000,,,,,,,,,,,,,,,,,,,,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,,,0,,,,,,,,,,2018,,,,,,0,,,,,10900,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,CFC-12 / R12 (dichlorodifluoromethane),,,,,,,,,,,0,,,,,,,,,,,,,,,
a073h000003kpiiAAA,0053h000002flTyAAI,,CFC-13 - 2018 revision,0123h0000006kXsAAI,2020-09-09T17:03:39.000+0000,0053h000002flTyAAI,2020-09-09T17:03:39.000+0000,0053h000002flTyAAI,2020-09-09T17:03:39.000+0000,,,,,,,,,,,,,,,,,,,,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,,,0,,,,,,,,,,2018,,,,,,0,,,,,14400,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,CFC-13,,,,,,,,,,,0,,,,,,,,,,,,,,,
a073h000003kpijAAA,0053h000002flTyAAI,,Dimethylether - 2018 revision,0123h0000006kXsAAI,2020-09-09T17:03:39.000+0000,0053h000002flTyAAI,2020-09-09T17:03:39.000+0000,0053h000002flTyAAI,2020-09-09T17:03:39.000+0000,,,,,,,,,,,,,,,,,,,,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,,,0,,,,,,,,,,2018,,,,,,0,,,,,1,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,Dimethylether,,,,,,,,,,,0,,,,,,,,,,,,,,,
